,index,Season,Region,Country,YearWeek,Clinical syndrome,00-04a,05-14a,15-64a,65+a
0,0,2015/2016,EU/EEA,France,2015-W40,ILI,34.92624142,13.81982023,20.98428564,15.26233092
1,1,2015/2016,WHO Europe,France,2015-W40,ILI,34.92624142,13.81982023,20.98428564,15.26233092
2,2,2015/2016,EU/EEA,France,2015-W41,ILI,25.23283536,15.65840424,23.84686799,11.26726588
3,3,2015/2016,WHO Europe,France,2015-W41,ILI,25.23283536,15.65840424,23.84686799,11.26726588
4,4,2015/2016,EU/EEA,France,2015-W42,ILI,37.07477988,14.28251024,34.7103081,12.90583378
5,5,2015/2016,WHO Europe,France,2015-W42,ILI,37.07477988,14.28251024,34.7103081,12.90583378
6,6,2015/2016,EU/EEA,France,2015-W43,ILI,69.50272077,17.92315011,25.8710371,14.31635357
7,7,2015/2016,WHO Europe,France,2015-W43,ILI,69.50272077,17.92315011,25.8710371,14.31635357
8,8,2015/2016,EU/EEA,France,2015-W44,ILI,38.29894714,8.1457795,26.35013038,11.77403946
9,9,2015/2016,WHO Europe,France,2015-W44,ILI,38.29894714,8.1457795,26.35013038,11.77403946
10,10,2015/2016,EU/EEA,France,2015-W45,ILI,36.07545967,9.789546664,26.73580047,1.418966018
11,11,2015/2016,WHO Europe,France,2015-W45,ILI,36.07545967,9.789546664,26.73580047,1.418966018
12,12,2015/2016,EU/EEA,France,2015-W46,ILI,39.19833533,30.73235793,18.31813154,7.25530839
13,13,2015/2016,WHO Europe,France,2015-W46,ILI,39.19833533,30.73235793,18.31813154,7.25530839
14,14,2015/2016,EU/EEA,France,2015-W47,ILI,97.68355076,14.06334129,21.54003385,7.618496121
15,15,2015/2016,WHO Europe,France,2015-W47,ILI,97.68355076,14.06334129,21.54003385,7.618496121
16,16,2015/2016,EU/EEA,France,2015-W48,ILI,140.4794389,31.19504795,18.55767818,4.189328244
17,17,2015/2016,WHO Europe,France,2015-W48,ILI,140.4794389,31.19504795,18.55767818,4.189328244
18,18,2015/2016,EU/EEA,France,2015-W49,ILI,139.1803226,40.63148908,28.04851605,7.280647069
19,19,2015/2016,WHO Europe,France,2015-W49,ILI,139.1803226,40.63148908,28.04851605,7.280647069
20,20,2015/2016,EU/EEA,France,2015-W50,ILI,92.58701768,52.51531687,38.26997117,8.85164516
21,21,2015/2016,WHO Europe,France,2015-W50,ILI,92.58701768,52.51531687,38.26997117,8.85164516
22,22,2015/2016,EU/EEA,France,2015-W51,ILI,137.6313763,41.26464383,44.8048035,12.48352247
23,23,2015/2016,WHO Europe,France,2015-W51,ILI,137.6313763,41.26464383,44.8048035,12.48352247
24,24,2015/2016,EU/EEA,France,2015-W52,ILI,86.41621537,30.7932382,30.09424436,7.973237625
25,25,2015/2016,WHO Europe,France,2015-W52,ILI,86.41621537,30.7932382,30.09424436,7.973237625
26,26,2015/2016,EU/EEA,France,2015-W53,ILI,63.38188447,37.17349001,37.62319524,29.89119487
27,27,2015/2016,WHO Europe,France,2015-W53,ILI,63.38188447,37.17349001,37.62319524,29.89119487
28,28,2015/2016,EU/EEA,France,2016-W01,ILI,100.260208,53.77095349,71.2259261,32.49995699
29,29,2015/2016,WHO Europe,France,2016-W01,ILI,100.260208,53.77095349,71.2259261,32.49995699
30,30,2015/2016,EU/EEA,France,2016-W02,ILI,107.6868901,99.09784023,69.49728077,24.30737897
31,31,2015/2016,WHO Europe,France,2016-W02,ILI,107.6868901,99.09784023,69.49728077,24.30737897
32,32,2015/2016,EU/EEA,France,2016-W03,ILI,250.4386851,231.6840816,102.0187661,26.56853051
33,33,2015/2016,WHO Europe,France,2016-W03,ILI,250.4386851,231.6840816,102.0187661,26.56853051
34,34,2015/2016,EU/EEA,France,2016-W04,ILI,447.1959166,568.7030981,188.4797241,35.09700422
35,35,2015/2016,WHO Europe,France,2016-W04,ILI,447.1959166,568.7030981,188.4797241,35.09700422
36,36,2015/2016,EU/EEA,France,2016-W05,ILI,604.5269366,662.127581,220.7382066,58.82271015
37,37,2015/2016,WHO Europe,France,2016-W05,ILI,604.5269366,662.127581,220.7382066,58.82271015
38,38,2015/2016,EU/EEA,France,2016-W06,ILI,711.9895309,715.2388417,243.2631966,50.78579112
39,39,2015/2016,WHO Europe,France,2016-W06,ILI,711.9895309,715.2388417,243.2631966,50.78579112
40,40,2015/2016,EU/EEA,France,2016-W07,ILI,741.5467287,677.8042788,268.4588598,72.1848049
41,41,2015/2016,WHO Europe,France,2016-W07,ILI,741.5467287,677.8042788,268.4588598,72.1848049
42,42,2015/2016,EU/EEA,France,2016-W08,ILI,678.0710265,559.2874839,272.6740766,58.86367304
43,43,2015/2016,WHO Europe,France,2016-W08,ILI,678.0710265,559.2874839,272.6740766,58.86367304
44,44,2015/2016,EU/EEA,France,2016-W09,ILI,831.6388619,764.1160747,296.7125278,71.83252404
45,45,2015/2016,WHO Europe,France,2016-W09,ILI,831.6388619,764.1160747,296.7125278,71.83252404
46,46,2015/2016,EU/EEA,France,2016-W10,ILI,996.2719551,1004.484111,306.49623,81.18025556
47,47,2015/2016,WHO Europe,France,2016-W10,ILI,996.2719551,1004.484111,306.49623,81.18025556
48,48,2015/2016,EU/EEA,France,2016-W11,ILI,1130.899259,1125.843582,367.0538083,96.52495418
49,49,2015/2016,WHO Europe,France,2016-W11,ILI,1130.899259,1125.843582,367.0538083,96.52495418
50,50,2015/2016,EU/EEA,France,2016-W12,ILI,950.6402273,813.581034,363.4578435,116.2035266
51,51,2015/2016,WHO Europe,France,2016-W12,ILI,950.6402273,813.581034,363.4578435,116.2035266
52,52,2015/2016,EU/EEA,France,2016-W13,ILI,570.8576497,394.7841096,255.1748301,66.42542255
53,53,2015/2016,WHO Europe,France,2016-W13,ILI,570.8576497,394.7841096,255.1748301,66.42542255
