,week,inc,inc_low,inc_up,inc100,inc100_low,inc100_up
0,202138,15479,12169.0,18789.0,23,18.0,28.0
1,202137,13673,10404.0,16942.0,21,16.0,26.0
2,202136,10289,7505.0,13073.0,16,12.0,20.0
3,202135,12609,9282.0,15936.0,19,14.0,24.0
4,202134,13015,9485.0,16545.0,20,15.0,25.0
5,202133,10392,7042.0,13742.0,16,11.0,21.0
6,202132,15586,11009.0,20163.0,24,17.0,31.0
7,202131,18855,13664.0,24046.0,29,21.0,37.0
8,202130,13991,9695.0,18287.0,21,14.0,28.0
9,202129,13626,9618.0,17634.0,21,15.0,27.0
10,202128,8636,5430.0,11842.0,13,8.0,18.0
11,202127,10693,6838.0,14548.0,16,10.0,22.0
12,202126,7086,4109.0,10063.0,11,6.0,16.0
13,202125,7942,5540.0,10344.0,12,8.0,16.0
14,202124,4855,3011.0,6699.0,7,4.0,10.0
15,202123,6710,4455.0,8965.0,10,7.0,13.0
16,202122,7879,5495.0,10263.0,12,8.0,16.0
17,202121,7827,5403.0,10251.0,12,8.0,16.0
18,202120,10278,7540.0,13016.0,16,12.0,20.0
19,202119,9539,6860.0,12218.0,14,10.0,18.0
20,202118,12135,9165.0,15105.0,18,14.0,22.0
21,202117,12058,8891.0,15225.0,18,13.0,23.0
22,202116,16505,12735.0,20275.0,25,19.0,31.0
23,202115,19306,15398.0,23214.0,29,23.0,35.0
24,202114,21073,17099.0,25047.0,32,26.0,38.0
25,202113,26413,22094.0,30732.0,40,33.0,47.0
26,202112,30658,25919.0,35397.0,46,39.0,53.0
27,202111,24988,20718.0,29258.0,38,32.0,44.0
28,202110,19539,15951.0,23127.0,30,25.0,35.0
29,202109,17572,13926.0,21218.0,27,21.0,33.0
30,202108,20882,16907.0,24857.0,32,26.0,38.0
31,202107,22393,18303.0,26483.0,34,28.0,40.0
32,202106,23183,19134.0,27232.0,35,29.0,41.0
33,202105,22426,18445.0,26407.0,34,28.0,40.0
34,202104,25804,21491.0,30117.0,39,32.0,46.0
35,202103,21810,17894.0,25726.0,33,27.0,39.0
36,202102,17320,13906.0,20734.0,26,21.0,31.0
37,202101,21799,17778.0,25820.0,33,27.0,39.0
38,202053,21220,16498.0,25942.0,32,25.0,39.0
39,202052,16428,12285.0,20571.0,25,19.0,31.0
40,202051,21619,17370.0,25868.0,33,27.0,39.0
41,202050,16845,13220.0,20470.0,26,20.0,32.0
42,202049,12939,9923.0,15955.0,20,15.0,25.0
43,202048,13804,10641.0,16967.0,21,16.0,26.0
44,202047,19085,15285.0,22885.0,29,23.0,35.0
45,202046,24801,20503.0,29099.0,38,31.0,45.0
46,202045,42516,36857.0,48175.0,65,56.0,74.0
47,202044,44567,38521.0,50613.0,68,59.0,77.0
48,202043,43799,37581.0,50017.0,67,58.0,76.0
49,202042,35183,29847.0,40519.0,53,45.0,61.0
50,202041,27926,23251.0,32601.0,42,35.0,49.0
51,202040,20443,16381.0,24505.0,31,25.0,37.0
52,202039,19810,15900.0,23720.0,30,24.0,36.0
53,202038,25559,21141.0,29977.0,39,32.0,46.0
54,202037,18485,14649.0,22321.0,28,22.0,34.0
55,202036,10390,7646.0,13134.0,16,12.0,20.0
56,202035,9918,6842.0,12994.0,15,10.0,20.0
57,202034,6084,3090.0,9078.0,9,4.0,14.0
58,202033,6106,3411.0,8801.0,9,5.0,13.0
59,202032,5918,3330.0,8506.0,9,5.0,13.0
60,202031,4351,2269.0,6433.0,7,4.0,10.0
61,202030,8179,5442.0,10916.0,12,8.0,16.0
62,202029,8687,5860.0,11514.0,13,9.0,17.0
63,202028,8325,5688.0,10962.0,13,9.0,17.0
64,202027,4066,2406.0,5726.0,6,3.0,9.0
