,week,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
0,202138,827,130.0,1524.0,15,3.0,27.0,44,GRAND EST
1,202138,632,0.0,1347.0,10,0.0,22.0,75,NOUVELLE-AQUITAINE
2,202138,1405,307.0,2503.0,17,4.0,30.0,84,AUVERGNE-RHONE-ALPES
3,202138,2363,857.0,3869.0,82,30.0,134.0,27,BOURGOGNE-FRANCHE-COMTE
4,202138,2201,1001.0,3401.0,64,29.0,99.0,53,BRETAGNE
5,202138,801,221.0,1381.0,30,8.0,52.0,24,CENTRE-VAL-DE-LOIRE
6,202138,37,0.0,117.0,11,0.0,34.0,94,CORSE
7,202138,3174,804.0,5544.0,26,7.0,45.0,11,ILE-DE-FRANCE
8,202138,1189,129.0,2249.0,20,2.0,38.0,76,OCCITANIE
9,202138,433,0.0,1134.0,7,0.0,19.0,32,HAUTS-DE-FRANCE
10,202138,0,0.0,0.0,0,0.0,0.0,28,NORMANDIE
11,202138,2013,506.0,3520.0,52,13.0,91.0,52,PAYS-DE-LA-LOIRE
12,202138,1227,0.0,2469.0,24,0.0,48.0,93,PROVENCE-ALPES-COTE-D-AZUR
13,202137,671,3.0,1339.0,12,0.0,24.0,44,GRAND EST
14,202137,391,0.0,917.0,6,0.0,15.0,75,NOUVELLE-AQUITAINE
15,202137,2086,801.0,3371.0,26,10.0,42.0,84,AUVERGNE-RHONE-ALPES
16,202137,0,0.0,0.0,0,0.0,0.0,27,BOURGOGNE-FRANCHE-COMTE
17,202137,1670,581.0,2759.0,49,17.0,81.0,53,BRETAGNE
18,202137,345,0.0,756.0,13,0.0,29.0,24,CENTRE-VAL-DE-LOIRE
19,202137,20,0.0,69.0,6,0.0,20.0,94,CORSE
20,202137,1820,0.0,3890.0,15,0.0,32.0,11,ILE-DE-FRANCE
21,202137,1659,599.0,2719.0,28,10.0,46.0,76,OCCITANIE
22,202137,293,0.0,867.0,5,0.0,14.0,32,HAUTS-DE-FRANCE
23,202137,83,0.0,264.0,2,0.0,7.0,28,NORMANDIE
24,202137,1528,451.0,2605.0,39,11.0,67.0,52,PAYS-DE-LA-LOIRE
25,202137,3523,1465.0,5581.0,69,29.0,109.0,93,PROVENCE-ALPES-COTE-D-AZUR
26,202136,366,0.0,815.0,6,0.0,14.0,44,GRAND EST
27,202136,279,0.0,712.0,5,0.0,12.0,75,NOUVELLE-AQUITAINE
28,202136,1105,286.0,1924.0,14,4.0,24.0,84,AUVERGNE-RHONE-ALPES
29,202136,264,0.0,714.0,9,0.0,25.0,27,BOURGOGNE-FRANCHE-COMTE
30,202136,1209,158.0,2260.0,35,4.0,66.0,53,BRETAGNE
31,202136,551,40.0,1062.0,21,2.0,40.0,24,CENTRE-VAL-DE-LOIRE
32,202136,20,0.0,71.0,6,0.0,21.0,94,CORSE
33,202136,2011,0.0,4129.0,16,0.0,33.0,11,ILE-DE-FRANCE
34,202136,2427,1144.0,3710.0,40,19.0,61.0,76,OCCITANIE
35,202136,132,0.0,462.0,2,0.0,7.0,32,HAUTS-DE-FRANCE
36,202136,62,0.0,221.0,2,0.0,7.0,28,NORMANDIE
37,202136,870,0.0,1822.0,22,0.0,47.0,52,PAYS-DE-LA-LOIRE
38,202136,1220,0.0,2450.0,24,0.0,48.0,93,PROVENCE-ALPES-COTE-D-AZUR
39,202135,1263,0.0,2607.0,22,0.0,46.0,44,GRAND EST
40,202135,496,0.0,1102.0,8,0.0,18.0,75,NOUVELLE-AQUITAINE
41,202135,861,125.0,1597.0,11,2.0,20.0,84,AUVERGNE-RHONE-ALPES
42,202135,468,0.0,1154.0,16,0.0,40.0,27,BOURGOGNE-FRANCHE-COMTE
43,202135,2322,818.0,3826.0,68,24.0,112.0,53,BRETAGNE
44,202135,273,0.0,607.0,10,0.0,23.0,24,CENTRE-VAL-DE-LOIRE
45,202135,16,0.0,77.0,5,0.0,23.0,94,CORSE
46,202135,1639,0.0,3507.0,13,0.0,28.0,11,ILE-DE-FRANCE
47,202135,875,121.0,1629.0,15,2.0,28.0,76,OCCITANIE
48,202135,1812,473.0,3151.0,30,8.0,52.0,32,HAUTS-DE-FRANCE
49,202135,0,0.0,0.0,0,0.0,0.0,28,NORMANDIE
50,202135,1009,137.0,1881.0,26,3.0,49.0,52,PAYS-DE-LA-LOIRE
51,202135,2122,466.0,3778.0,41,9.0,73.0,93,PROVENCE-ALPES-COTE-D-AZUR
52,202134,1641,0.0,3582.0,29,0.0,63.0,44,GRAND EST
53,202134,934,81.0,1787.0,15,1.0,29.0,75,NOUVELLE-AQUITAINE
54,202134,851,86.0,1616.0,10,1.0,19.0,84,AUVERGNE-RHONE-ALPES
55,202134,973,0.0,2130.0,34,0.0,74.0,27,BOURGOGNE-FRANCHE-COMTE
56,202134,2004,478.0,3530.0,59,14.0,104.0,53,BRETAGNE
57,202134,151,0.0,381.0,6,0.0,15.0,24,CENTRE-VAL-DE-LOIRE
58,202134,0,0.0,0.0,0,0.0,0.0,94,CORSE
59,202134,1568,367.0,2769.0,13,3.0,23.0,11,ILE-DE-FRANCE
60,202134,1368,350.0,2386.0,23,6.0,40.0,76,OCCITANIE
61,202134,398,0.0,1073.0,7,0.0,18.0,32,HAUTS-DE-FRANCE
62,202134,0,0.0,0.0,0,0.0,0.0,28,NORMANDIE
63,202134,1073,89.0,2057.0,28,3.0,53.0,52,PAYS-DE-LA-LOIRE
64,202134,2559,53.0,5065.0,50,1.0,99.0,93,PROVENCE-ALPES-COTE-D-AZUR
65,202133,749,0.0,1763.0,13,0.0,31.0,44,GRAND EST
66,202133,693,0.0,1481.0,11,0.0,24.0,75,NOUVELLE-AQUITAINE
67,202133,909,0.0,2070.0,11,0.0,25.0,84,AUVERGNE-RHONE-ALPES
68,202133,712,112.0,1312.0,25,4.0,46.0,27,BOURGOGNE-FRANCHE-COMTE
69,202133,0,0.0,0.0,0,0.0,0.0,53,BRETAGNE
70,202133,232,0.0,495.0,9,0.0,19.0,24,CENTRE-VAL-DE-LOIRE
71,202133,0,0.0,0.0,0,0.0,0.0,94,CORSE
72,202133,1387,46.0,2728.0,11,0.0,22.0,11,ILE-DE-FRANCE
73,202133,1613,384.0,2842.0,27,7.0,47.0,76,OCCITANIE
74,202133,657,0.0,1668.0,11,0.0,28.0,32,HAUTS-DE-FRANCE
75,202133,0,0.0,0.0,0,0.0,0.0,28,NORMANDIE
76,202133,1394,0.0,2897.0,36,0.0,75.0,52,PAYS-DE-LA-LOIRE
77,202133,1272,0.0,2738.0,25,0.0,54.0,93,PROVENCE-ALPES-COTE-D-AZUR
78,202132,1232,0.0,2508.0,22,0.0,45.0,44,GRAND EST
79,202132,1375,173.0,2577.0,22,2.0,42.0,75,NOUVELLE-AQUITAINE
80,202132,2190,444.0,3936.0,27,6.0,48.0,84,AUVERGNE-RHONE-ALPES
81,202132,0,0.0,0.0,0,0.0,0.0,27,BOURGOGNE-FRANCHE-COMTE
82,202132,217,0.0,445.0,6,0.0,13.0,53,BRETAGNE
83,202132,0,0.0,0.0,0,0.0,0.0,24,CENTRE-VAL-DE-LOIRE
84,202132,0,0.0,0.0,0,0.0,0.0,94,CORSE
85,202132,4197,1596.0,6798.0,34,13.0,55.0,11,ILE-DE-FRANCE
86,202132,961,18.0,1904.0,16,0.0,32.0,76,OCCITANIE
87,202132,0,0.0,0.0,0,0.0,0.0,32,HAUTS-DE-FRANCE
88,202132,0,0.0,0.0,0,0.0,0.0,28,NORMANDIE
89,202132,0,0.0,0.0,0,0.0,0.0,52,PAYS-DE-LA-LOIRE
90,202132,3433,865.0,6001.0,67,17.0,117.0,93,PROVENCE-ALPES-COTE-D-AZUR
91,202131,3046,913.0,5179.0,54,16.0,92.0,44,GRAND EST
92,202131,848,0.0,1792.0,14,0.0,29.0,75,NOUVELLE-AQUITAINE
93,202131,2147,563.0,3731.0,26,7.0,45.0,84,AUVERGNE-RHONE-ALPES
94,202131,0,0.0,0.0,0,0.0,0.0,27,BOURGOGNE-FRANCHE-COMTE
95,202131,27,0.0,102.0,1,0.0,3.0,53,BRETAGNE
96,202131,0,0.0,0.0,0,0.0,0.0,24,CENTRE-VAL-DE-LOIRE
97,202131,0,0.0,0.0,0,0.0,0.0,94,CORSE
98,202131,2537,26.0,5048.0,21,1.0,41.0,11,ILE-DE-FRANCE
